品項,價格,數量,底價,照片
提袋(紫),50,1,30,
提袋(綠),50,1,30,
Lush 提袋,80,1,50,
Origins 2013 提袋,80,1,50,
黑騎士物語 提袋,50,2,30,
人參 提袋,80,1,50,
有書之年 提袋,120,1,100,
貓 提袋,100,1,80,
Taiwan Industrail Heritage 提袋,120,1,100,
中研院 提袋,100,1,80,
藤編包,550,1,500,o
mizuno襪子3雙,450,2,400,o
bodum保溫壺,350,1,200,
內衣,350,1,300,
英國地圖,300,1,250,
蔣勳孤獨六講有聲書,400,1,300,
蔣勳王羲之,200,1,150,
水滸108,200,1,150,
水晶盤,300,2,200,o
Poker,150,1,100,
KLIM碗,120,1,100,o
金園CK5件碗 葡萄圖案,120,1組,100,o
sakura黃碗,30,1,30,o
福壽無疆碗,180,2,150,o
sakura碗盤組,80,1組,50,o
牛奶玻璃匙,20,10,20,o
CK匙,30,1,30,o
green mug,50,2,50,o
康乃馨橢圓盤,100,1,80,o
海芋盤,100,1,80,o
金魚盤,100,1,50,o
牛奶玻璃碟,30,2,20,o
只見線明信片,50,1組,50,o
鮮乳坊提袋,50,1,30,o
starbucks飲料袋,50,1,50,o
yoga鋪巾,400,1,350,o
SKII 小熊,50,1,50,o
MOZ玻璃杯組,200,1,150,o
6入碗筷組,450,1,400,o
美甲,500,1,450,o
super robot筆記本 魔神Z,950,1,850,o
starbucks布章,120,1,100,o
a la sha 筆記本,120,1,100,o
氣墊梳,120,1,100,o
櫻桃小丸子明信片8張,150,1組,150,o
達利明信片,10,3,10,o
手機指扣,30,2,30,o
SKII 包,150,1,150,o
蜘蛛人金屬手機指扣,50,1,50,o
書展徽章筆記本,50,1,50,o
seventeen拼圖,350,1,290,o
林青霞鏡子,200,1,150,o
談徐志摩,350,1,300,o
康寧紫花盤,50,1,50,o
康寧深盤藍花,200,2,150,o
康寧碗,50,1,50,o
大同白碗公,30,2,30,o
大同玫瑰碗公,50,2,50,o
大同中碗公,100,1,80,o
大同大碗公,200,1,150,o
紅紫花碗4件,100,1組,80,o
紫圈碗4件,100,1組,80,o
大千百貨杯,500,1,500,o
康寧Iris shadow 1.5公升 方鍋,700,1,650,o
康寧Iris shadow 3公升 方鍋,1000,1,900,o
波堤獅碗,20,1,20,o
蛋黃哥盤,30,1,30,o
電話卡,100,6,100,o
魔法公主3D拼圖,200,1,0,o
江蕙2025演唱會手燈,200,1,150,o
可伸縮多功能水槽瀝水架 附抹布掛桿濾水架,150,1,120,o
知足常樂,500,1,450,o
歐萊德香水,1100,1,1100,o
熊本熊玻璃瓶(梅酒),120,1,80,o
熊本熊玻璃瓶(清酒),100,3,80,o
阿蘇火山牛奶瓶,100,1,80,o
阿部牧場牛奶瓶,100,1,80,o
軒尼詩碗,150,1,150,o
Soill岩鞋,1200,1,1200,o
台風咖啡杯,150,1,150,o
shot杯5件組,100,1組,100,o
DVD,150,10,0,o
紫水晶石,20,1,10,o
WD不鏽鋼保溫杯,450,1,400,o
S6手足修磨儀,200,1,150,o
金繼IKEA盤,20,1,10,o
